Borough,Provider,Address,Contact Name,Phone,Email/Website,Latitude,longitude
Bronx,"Destination Tomorrow, Inc.",452 East 149th Street 3rd Floor Bronx NY 10455,Mr. Sean Coleman,(646) 723-3325,sean@destinationtomorrow.org,,
Bronx,"Gambian Youths Organization, The",214 E 181st Bronx NY 10457,Mr. Salim Drammeh,(347) 963-2878,salim.drammeh5@gmail.com,,
Bronx,"Kingsbridge Heights Community Center, Inc.",3101 Kingsbridge Terrace Bronx NY 10463,Raye Barbieri,(718) 884-0700,development@khcc-nyc.org,40.8776013,-73.90062932
Bronx,Part of the Solution,2759 Webster Ave Bronx NY 10458,Mr Christina Hanson,(718) 329-7151,chanson@potsbronx.org,40.852308,-73.898104
Bronx,The Union Grove Baptist Church,1488 Hoe Ave. Bronx NY 10460,Mr. Joseph Alston,(347) 590-3881,jalston@ugmbc-ny.org,40.83289365,-73.8890159
Bronx,"Urban Health Plan, Inc.",1065 Southern Blvd Bronx NY 10459,Jamine Williams,(347) 302-5562,Jamine.Williams@urbanhealthplan.org,40.8250661,-73.89229329
Queens,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,,,
Queens,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org,40.7042035,-74.00824365
Queens,Mt. Moriah AME Church,116-20 Francis Lewis Blvd Queens NY 11411,Dr. Barbra Talley,(718) 276-1750,btalley@moriahcity.org,40.69696025,-73.74691739
Queens,"CHAZAQ Organization USA, Inc.",141-24 Jewel Ave Flushing NY 11367,Mr. Israel Peskowitz,(718) 285-9132,community@chazaq.org,,
Queens,South Asian Council for Social Services,143-02 45th Ave Flushing NY 11355,Ms Sudha Acharya,(718) 888-0866,sudha@sacssny.org,,
Queens,Young Women's Christian Association of Queens,42-07 Parsons Blvd Flushing NY 11355,Mrs. Liceth Turo-Garcia,(718) 353-4553,ltgarcia@ywcaqueens.org,40.7644636,-73.8233968
Queens,"Queens Jewish Community Council, Inc.",119-45 Union Turnpike Forest Hills NY 11375,Mayer Waxman,(718) 544-9033,mwaxman@qjcc.org,40.7139988,-73.8323331
Queens,Queens Law Associates Not-For-Profit Corporation,118-21 Queens Blvd Forest Hills NY 11375,Mr. Brian Schatz,(929) 343-5733,bschatz@queensdefenders.org,40.7150191,-73.8315347
Queens,American Pakistani Advocacy Group Cares Inc.,159-16 Union Turnpike Fresh Meadows NY 11366,Mr. Malik Hashim,(347) 596-7202,apagcares@gmail.com,40.7291337,-73.7812577
Queens,SCO Family of Services,"1415 Kellum Place, Suite 140 Garden City NY 11530",Mr. Leslie Johnson,(718) 312-5850,MJukoski@sco.org,,
Queens,LGBT Network,"125 Kennedy Drive, Suite 100 Hauppauge NY 11788",Dr. David Kilmnick,(631) 665-2300,david@lgbtnetwork.org,,
Queens,Mt. Olivet Baptist Church of Hollis,202-03 Hollis Ave Hollis NY 11412,Dr. Frankco Harris,(718) 465-3746,fharris@mobch.org,40.70658635,-73.75560429
Queens,New Immigrant Community Empowerment (NICE),71-29 Roosevelt Avenue Jackson Heights NY 11372,Ms Vanessa Marquez,(914) 316-4600,vanessa@nynice.org,31.581035,-84.122924
Queens,"The Greater Ridgewood Youth Council, Inc.",5903 Summerfield Street Ridgewood NY 11385,Mrs. Michelle Koch,(718) 456-5437,mkoch@thegryc.org,40.6976639,-73.8995955
Queens,Greater Bethel Community Development Corporation,"95-26 Sutphin Boulevard, Suite B Jamaica NY 11435",Dr. Maria Hubbard,(718) 350-9949,mhub133061@aol.com,,
Queens,"TSQ, Inc.",129-01 Metropolitan Avenue Kew Gardens NY 11415,Mr. Isaac Katz,(718) 850-8070,info@tsqinc.org,40.7039895,-73.82332425
Queens,"New York Edge, Inc.",58-12 Queens Blvd Queens NY 11377,Ms Rachael Gazdick,(347) 417-8150,rgazdick@newyorkedge.org,40.7412125,-73.9069901
Queens,"Queens Community House, Inc.",108-25 62nd Drive Queens NY 11375,Mr. Anne M. Foerg,(718) 592-5757,afoerg@qchnyc.org,40.7361966,-73.8501995
Queens,"Samuel Field YM & YWHA, Inc.Inc.",58-20 Little Neck Pkwy Little Neck NY 11362,,(718) 225-6750,dellman@commonpointqueens.org,40.7681087,-73.7294264
Queens,"East River Development Alliance, Inc.",12-­11 40th Avenue Long Island City NY 11101,Mr. Carlos Cano,(646) 657-6727,carlos@urbanupbound.org,,
Queens,"Fortune Society, Inc., The",29-76 Northern Boulevard Long Island City NY 11101,Mr. Brian Robinson,(347) 510-3613,brobinson@fortunesociety.org,40.7636795,-73.8078884
Queens,The Migrant Kitchen Incorporated,41-15 36th Street Long Island City NY 11101,Ms Jaclinn Tanney,(845) 641-4051,Jaclinn@themigrantkitchennyc.com,,
Queens,"Maspeth Town Hall, Inc.",53-37 72nd Street Maspeth NY 11378,Mrs. Eileen Reilly,(718) 335-6049,eileen.reilly@maspethtownhall.org,40.7303766,-73.8921483
Queens,"ICNA Relief USA Programs, Inc.","1529 Jericho Turnpike, Suite # 1 New Hyde Park NY 11040",Ms Shumaila Siddiqui,(718) 249-9992,shumaila.noor@icnarelief.org,,
Queens,"New York Edge, Inc.",58-12 Queens Blvd Queens NY 11377,Ms Rachael Gazdick,(347) 417-8150,rgazdick@newyorkedge.org,40.7412125,-73.9069901
Queens,"Battalion Pentecostal Assembly, Inc.",454 Beach 67th Street Arvene NY 11692,Mr. David T. Cockfield,(718) 634-7172,dcockfield@bparock.org,,
Queens,"Korean Community Services of Metropolitan New York, Inc.",203-05 32nd Ave Bayside NY 11361,Mrs. Myoungmi Kim,(718) 939-6137,mkim@kcsny.org,40.77099055,-73.78643677
Queens,"Project Lead, Inc.",123-19 Hillside Avenue Richmond Hill NY 11418,Mr. Avrohom Hecht,(718) 495-6210,canarsiejcc@gmail.com,40.70269325,-73.82729826
Manhattan,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,,,
Manhattan,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc",77 Water Street New York NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org,40.7042035,-74.00824365
Manhattan,"Cabrini Immigrant Services of New York City, Inc.",701 Ft. Washington Ave New York NY 10040,Ms Ella Nimmo,(212) 791-4590,ellanimmo@cis-nyc.org,40.8584393,-73.93530726
Manhattan,"Catholic Charities Community Services, Archdiocese of New York","1011 First Avenue, 6th Floor New York NY 10022-4112",Ms Beatriz Diaz Taveras,(646) 794-2438,Beatriz.diaztaveras@archny.org,,
Manhattan,"Chai Lifeline, Inc.",151 West 30th Street New York NY 10001,Ms Leah Bloch,(212) 699-6608,lbloch@chailifeline.org,40.7483075,-73.991803
Manhattan,"Chinese American Planning Council, Inc.",150 Elizabeth Street New York NY 10012,Mr. Carlyn Cowen,(212) 941-0920,ccowen@cpc-nyc.org,40.72025315,-73.99479967
Manhattan,Church of the Holy Apostles,296 9th Avenue New York NY 10001,Mr. Michael Ottley,(646) 998-6105,mottley@holyapostlesnyc.org,40.7493539,-73.998973
Manhattan,"City Harvest, Inc.",150 52nd street New York NY 11232,Ms Jenna Gaglione,(203) 885-9520,jgaglione@cityharvest.org,40.6306355,-73.989378
Manhattan,CityMeals on Wheels,355 Lexington Avenue New York NY 10017,Ms Rachel Sherrow,(646) 866-6289,rachel@citymeals.org,40.75015225,-73.97647661
Manhattan,"Coalition for the Homeless, Inc.",129 Fulton Street New York NY 10038,Mr Dave Giffen,(212) 776-2004,dgiffen@cfthomeless.org,40.7102691,-74.0075338
Manhattan,"Community League of the Heights, Inc.",500 West 159 Street New York NY 10032,Ms Yvonne Stennett,(212) 795-4779,ystennett@cloth159.org,43.0465287,-75.8900732
Manhattan,"Council on the Environment, Inc.",100 Gold St New York NY 10038,Mr. Nick Rolf,(212) 788-7900,nrolf@grownyc.org,40.7019235,-73.98305949
Manhattan,"Dominican Women's Development Center, Inc.",519 W. 189th Street New York NY 10040,Mrs. Rosita Romero,(212) 994-6060,rromero@dwdc.org,40.8536118,-73.9281698
Manhattan,Evangelical Lutheran Church of the Advent,2504 Broadway New York NY 10025,Reverend Danielle Miller,(212) 665-2504,pastordanielle@adventnyc.org,40.79269715,-73.9727002
Manhattan,"Father's Heart Ministries, The",543-545 East 11th Street New York NY 10009,Mrs. Marian Hutchins,(212) 375-1765,marianhutchins@fathersheartnyc.org,40.5875026,-73.9593542
Manhattan,"God's Love We Deliver, Inc.",166 Avenue of the Americas New York NY 10013,Ms Karen Pearl,(212) 294-8194,kpearl@glwd.org,40.7255612,-74.0037455
Manhattan,"Harvest Home Farmer's Market, Inc.",18 west 126th Street New York NY 10027,Ms Maritza Owens,(212) 828-3361,maritzao@hrvesthomefm.org,40.8083818,-73.9448394
Manhattan,Henry Street Settlement,265 Henry Street New York NY 10002,Mr. David Garza,(212) 766-9200,dgarza@henrystreet.org,40.6926069,-73.99511294
Manhattan,"Hetrick-Martin Institute, Inc.",2 Astor Place New York NY 10003,Mr. Joe Pressley,(212) 674-2600,jpressley@hmi.org,40.7299037,-73.9926351
Manhattan,"Hispanic Federation, Inc.","55 Exchange Place, Suite 501 New York NY 10005",Mr. Frankie Miranda,(212) 233-8955,fmiranda@hispanicfederation.org,,
Manhattan,"Lower East Side Girls Club of New York, Inc., The",101 Avenue D New York NY 10009,Ms Bessie Taliaferro,(513) 560-7770,bessie.taliaferro@girlsclub.org,40.54659785,-74.2115063
Manhattan,Lantern Community Services,"494 8th Avenue, 20th Floor New York NY 10001",Ms Peggy Leggat,(212) 398-3073,PLeggat@lanterncommunity.org,,
Manhattan,Metropolitan College of New York,60 West Street New York NY 10006,Dr. Joanne Passaro,(212) 343-1234,jpassaro@mcny.edu,40.72860875,-73.9585904
Manhattan,"Lower East Side Girls Club of New York, Inc., The",101 Avenue D New York NY 10009,Ms Bessie Taliaferro,(513) 560-7770,bessie.taliaferro@girlsclub.org,40.54659785,-74.2115063
Manhattan,"Nazareth Housing, Inc.",519 East 11th St. New York NY 10009,Ms Rachel Levine,(646) 713-2729,rlevine@nazarethhousingnyc.org,40.72822695,-73.9807328
Manhattan,"New Alternatives for Children, Inc.",37 West 26th Street New York NY 10010,Ms Lara Foster,(917) 464-5212,lfoster@NacKidsCan.org,40.7445195,-73.9904827
Manhattan,"New York Common Pantry, Inc.",8 East 109th Street New York NY 10029,Mr. Stephen Grimaldi,(917) 720-9701,sgrimaldi@nycommonpantry.org,40.7957739,-73.94923651
Manhattan,"Palante Harlem, Inc.","1411 Amsterdam Avenue, Ground Floor New York NY 10027",Ms Elsia Vasquez,(212) 491-2541,elsia.vasquez@palanteharlem.org,,
Manhattan,"Phipps Neighborhoods, Inc.",902 Broadway New York NY 10010,Mr. Andre White,(646) 388-8233,andre.white@phippsny.org,40.69774855,-73.93691678
Manhattan,"Rauschenbusch Metro Ministries, Inc.",410 W. 40th Street New York NY 10018,Ms Tiffany Henkel,(212) 594-4464,thenkel@mbcnyc.org,40.75719355,-73.99434639
Manhattan,"Rethink Food NYC, Inc.","75 Broad St, Suite 707 Floor 7 New York NY 10004",Ms Kathleen DiPerna,(212) 364-7040,kathleend@rethinkfood.org,,
Manhattan,"Trinity's Services and Food for the Homeless, Inc.",602 E. 9th Street New York NY 10009,Mr. Alex Lawrence,(212) 228-5254,alex@safhnyc.org,40.7260202,-73.98012276
Manhattan,"United Jewish Council of the East Side, Inc.",465 Grand Street New York NY 10002,Ms Betsy Jacobson,(917) 542-1266,bjacobson@ujces.org,40.71127025,-73.95226
Manhattan,"Vision Urbana, Inc.",207-209 East Broadway New York NY 10002,Mr. Eric Diaz,(646) 626-9748,eric@visionurbana.org,40.7138809,-73.99234
Manhattan,Visiting Nurse Service of New York Home Care II,220 East 42nd Street New York NY 10017,Mr. James Farrell,(516) 424-6663,james.farrell@vnshealth.org,40.7501297,-73.9733465
Manhattan,"Volunteers of America - Greater New York, Inc.",135 W. 50th Street New York NY 10020,Mr. Daniel Lombardo,(212) 469-4304,dlombardo@voa-gny.org,40.7609866,-73.9822741
Manhattan,"West Side Center for Community Life, Inc.",263 West 86th Street New York NY 10024,Mr. Kira Garfinkel,(212) 362-3662,kgarfinkel@wscah.org,40.7889381,-73.97729097
Manhattan,Young Men's Christian Association of Greater New York,"5 W. 63rd Street, 6th Floor New York NY 10023",Mr. Michael Rivadeneyra,(212) 630-9717,mrivadeneyra@ymcanyc.org,,
Manhattan,"Asian Americans For Equality, Inc.","108 Norfolk Street, Ground Floor New York NY 10002",Mr. Thomas Yu,(646) 970-6805,thomas_yu@aafe.org,,
Manhattan,"Uplift NYC, Inc.",73 Elwood street suite 1B New York NY 10040,Mr. Domingo Estevez Jr.,(917) 826-0224,domingo@upliftnyc.us,,
Staten Island,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,,,
Staten Island,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org,40.7042035,-74.00824365
Staten Island,"Community Health Action of Staten Island, Inc.","56 Bay Street, 4th Floor Staten Island NY 10301",Ms Diane Arneth,(718) 808-1401,diane.arneth@chasiny.org,,
Staten Island,"Dr. Theodore A. Atlas Foundation, Inc.",543 Cary Avenue Staten Island NY 10310,Mrs. Sharon Curry,(718) 980-7037,sharonc@dratlasfoundation.com,40.6326205,-74.1202103
Staten Island,"Jewish Community Center of Staten Island, Inc.",1466 Manor Road Staten Island NY 10314,Mrs. Orit Lender,(718) 475-5227,olender@sijcc.com,40.59483985,-74.12645871
Staten Island,"Meals on Wheels of Staten Island, Inc.",304 Port Richmond Avenue Staten Island NY 10302,Mr. Joseph Tornello,(718) 727-4435,jtornello@mealsonwheelsofsi.org,40.63422385,-74.13624945
Staten Island,Tomchei Shabbos of Staten Island,22 Niles Place Staten Island NY 10314,Mr. Milton Pfeiffer,(718) 761-8905,pfeif8993@msn.com,40.59948355,-74.13488409
Staten Island,University of Notre Dame Alumni Club of Staten Island,64 Bloomingdale Road Staten Island NY 10309,Mr. Joseph Delaney,(718) 967-9825,Jodelaney@deloitteretired.com,40.5257179,-74.2159438
Staten Island,"Staten Island Community Job Center, Inc.",774 Port Richmond Avenue Staten Island NY 10302,Mrs. Yesenia Mata,(773) 931-2635,yesenia@lacolmenanyc.org,40.62536385,-74.14455936
