,Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Address
68,Orchard Beach Pavilion,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.86627,-73.794699,"Orchard Beach Boardwalk, Bronx County, The Bronx, New York, 10464, United States"
69,Bellerose Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.732855,-73.717682,"85-05, 249th Street, Queens, New York, Town of Hempstead, Nassau County, New York, 11426, United States"
70,Greenpoint Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.735646,-73.959285,"Right Triangle Public Restrooms, Dupont Street, Pod 1, Kings County, New York, 11222, United States"
71,Queensbridge Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.755099,-73.949561,"Queensboro Bridge, FDR Drive, Sutton, Midtown East, Manhattan, New York County, New York, 10155, United States"
72,Hutchinson River Prkwy Snack,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.836286,-73.83897,"Dunkin', 1325, Hutchinson River Parkway, Middletown, Bronx County, The Bronx, New York, 10461, United States"
73,Brooklyn Bridge Park Pier 6 - Quay Tower,Park,Brooklyn Bridge Park,Year Round,6am-1am,Fully Accessible,,,,,40.692827,-74.000721,"Quay Tower, 50, Bridge Park Drive, Columbia Street Waterfront District, Brooklyn, Kings County, New York, 11201, United States"
74,Laurelton Parkway West Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.685005,-73.726978,"120-12, 238th Street, Queens, New York, 11411, United States"
75,"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table in Children's room,https://www.nypl.org/locations/heiskell,40.740474,-73.993358,"40, West 20th Street, Chelsea, Manhattan, New York County, New York, 10011, United States"
76,Challenge Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.756911,-73.728131,"249-43, 61st Avenue, Douglaston Plaza Shopping Center, Queens, New York, 11362, United States"
77,,,,,,,,,,,,,
78,Green Central Knoll,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.70212,-73.933504,"Evergreen Avenue, Bushwick, Kings County, New York, 11221, United States"
79,"McKinley Park Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/dyker,40.629196,-74.011839,"Brooklyn Public Library, 6802, Fort Hamilton Parkway, Brooklyn, Kings County, New York, 11219, United States"
80,"Flushing Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.queenslibrary.org/about-us/locations/flushing,40.757782,-73.828886,"Queens Library at Flushing, 41-17, Main Street, Flushing Chinatown, Queens, New York, 11355, United States"
81,Anne Loftus Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.86512,-73.929484,"Anne Loftus Playground, Broadway, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States"
82,Travers Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754374,-73.889478,"Koeppel Mazda, 78th Street, Jackson Heights, Queens, New York, 11372, United States"
83,McCarren Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.722025,-73.951842,"McCarren Park House, 903, Lorimer Street, Brooklyn, Kings County, New York, 11222, United States"
84,"East Flushing Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/east-flushing,40.757554,-73.784304,"East Flushing, 196-36, Northern Boulevard, Queens, New York, 11358, United States"
85,,,,,,,,,,,,,
86,"George Bruce Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 12:00 pm - 7:00 pm 
Wednesday: 12:00 pm - 7:00 pm 
Thursday: 12:00 pm - 7:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/george-bruce,40.813777,-73.957055,"George Bruce Library, 518, West 125th Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States"
87,Seth Low Playground/ Bealin Square,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.608262,-73.986506,"7402, Bay Parkway, Bensonhurst, Brooklyn, Kings County, New York, 11204, United States"
88,Howard Bennett Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.813698,-73.938957,"23, West 135th Street, Harlem, Manhattan, New York County, New York, 10037, United States"
89,"Cypress Hills Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/cypress-hills,40.672716,-73.874036,"Brooklyn Public Library, 1197, Sutter Avenue, East New York, Brooklyn, Kings County, New York, 11208, United States"
90,Red Hook Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67277,-74.007817,"Red Hook, Brooklyn, Kings County, New York, 11231, United States"
91,,,,,,,,,,,,,
92,Woodlawn Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.899927,-73.87225,"Van Cortlandt Playground, Van Cortlandt Park East, Woodlawn, Bronx County, The Bronx, New York, 10470, United States"
93,Lemon Creek Park Marina,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.515281,-74.20115,"405, Bayview Avenue, Staten Island, Richmond County, New York, 10309, United States"
94,Lieutenant John H. Martinson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.537194,-74.162407,"9, Osborne Street, Woods of Arden, Staten Island, Richmond County, New York, 10312, United States"
95,"Yorkville Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/yorkville,40.773664,-73.956374,"Yorkville Library, 222, East 79th Street, Upper East Side, Manhattan, New York County, New York, 10021, United States"
96,Audubon Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841674,-73.937926,"550, West 170th Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
