Borough,Provider,Address,Contact Name,Phone,Email/Website
Brooklyn,"Collective Focus Resource Hub, Inc.",1046 Broadway Brooklyn NY 11221,Ms Briana Calderon,(941) 504-4411,info@collectivefocus.site
Brooklyn,"Community Help in Park Slope, Inc.",200 Fourth Avenue Brooklyn NY 11217,"Ms. Sandra Hagan, LMSW",(718) 237-2962,sandy@chipsonline.org
Brooklyn,Cong Chasdei Lev,1573 39th Street Brooklyn NY 11218,Mr. Naftali Miller,(718) 831-2500,office@chasdeilev.org
Brooklyn,"Council of Jewish Organizations of Flatbush, Inc.","1523 Avenue M, 3rd Floor Brooklyn NY 11230",Mr. Louis Welz,(718) 377-2900,lwelz@jewishcouncil.org
Brooklyn,"Council of Peoples Organization, Inc.",1081 Coney Island Avenue Brooklyn NY 11230,Mr. Mohammad Razvi,(718) 434-3266,mrazvi@copo.org
Brooklyn,"Crown Heights Jewish Community Council, Inc.",392 Kingston Ave Brooklyn NY 11225,Mr. Eli Cohen,(718) 771-9000,ecohen@chjcc.org
Brooklyn,Crown Heights Preservation Committee Corporation,483 Albany Avenue Brooklyn NY 11203,Rabbi Shimon Herz,(718) 774-9213,sherz@chjcc.org
Brooklyn,"Elite Learners, Inc.",45 Belmont Ave. Brooklyn NY 11212,Ms Camara Jackson,(347) 742-7913,cjackson@elitelearners.org
Brooklyn,"Family Services Network of New York, Inc.",1420 Bushwick Avenue Brooklyn NY 11207,Dr. Benjamin Igwe,(718) 455-6010,bigwe@fsnny.org
Brooklyn,"Grandma's Love, Inc.",261 68th Street Brooklyn NY 11220,Ms Theresa Monforte-Caraballo,(347) 662-6230,Theresa@grandmasloveinc.org
Brooklyn,Grant House Unity Corp.,2049 Flatbush Avenue Brooklyn NY 11234,Mr. Ben DiCostanzo,(718) 266-9700,granthouseunity@gmail.com
Brooklyn,Hebrew Educational Society,9502 Seaview Avenue Brooklyn NY 11236,Ms Moshit Rivkin,(718) 241-3000,Moshit@thehes.org
Brooklyn,"IGUD Harabonim of America, Inc.","11 Sunrise Plaza, Suite 305 Brooklyn NY 11580",Rabbi Moshe Schmerler,(833) 722-4483,rabbi@igud.org
Brooklyn,"Institute for Community Equity and Sharing, Inc.",13 Greene Avenue Brooklyn NY 11238,Mr. Jed Marcus,(347) 351-4242,marcus@onecommunitynyc.org
Brooklyn,"Jewish Community Council of Canarsie, Inc.","1170 Pennsylvania Avenue, Suite 1B Brooklyn NY 11239",Mr. Avrohom Hecht,(718) 495-6210,projectlead09@gmail.com
Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",3001 West 37th Street Brooklyn NY 11224,Rabbi Moshe Wiener,(718) 449-5000,m.wiener@jccgci.org
Brooklyn,"Kings Bay YM-YWHA, Inc.",3495 Nostrand Avenue Brooklyn NY 11229,Mr. Leonard Petlakh,(718) 648-7703,lpetlakh@kingsbayy.org
Brooklyn,Make the Road New York,301 Grove St. Brooklyn NY 11237,Mr. Derik Mendez,866-365-2724 Ext 4,Derik.Mendez@maketheroadny.org
Brooklyn,Masbia of Boro Park,5402 New Utrecht Ave Brooklyn NY 11219,Mr. Alexander Rapaport,(718) 972-4446,alex@masbia.org
Brooklyn,Masbia of Flatbush,1372 Coney Island Brooklyn NY 11230,Mr. Alexander Rapaport,(718) 972-4446,alex@masbia.org
Brooklyn,"Mixteca Organization, Inc.","245 23rd Street, 2nd floor Brooklyn NY 11215",Ms Lorena Kourousias,(718) 896-5479,lkouousias@mixteca.org
Brooklyn,"Muna Social Services, Inc.",464 Crescent Street Brooklyn NY 11208,Dr. Jahangir Kabir,(516) 864-5078,jkabir@munassinc.org
Brooklyn,"New York United Jewish Association, Inc.",2076 Flatbush Avenue Brooklyn NY 11234,Mr. Michael Rinkoff,(718) 407-1832,mendy@jccmp.org
Brooklyn,Trinity Human Services Corporation,153 A Johnson Avenue Brooklyn NY 11206,Miss Victoria Kamungu,(718) 388-3176,victoriasfmatrinity@gmail.com
Brooklyn,"Pakistani American Youth Organization, Inc.",1045 Coney Island Avenue Brooklyn NY 11230,Mr. Waqil Ahmed,(718) 713-2000,info@payousa.org
Brooklyn,Pakistani American Youth Society,1001 Newkirk Avenue Brooklyn NY 11230,Mr. Kashif Hussain,(646) 262-4551,payouthsociety@gmail.com
Brooklyn,"People In Need, Inc.",944 Newkirk Avenue Brooklyn NY 11230,Mrs. NOWSHIN ALI,(917) 615-8206,peopleinneednyc@gmail.com
Brooklyn,"SBH Community Service Network, Inc.",425 Kings Hwy Brooklyn NY 11223-1629,Mr. Andrey Oliskevich,(718) 787-1100,Andrey@sbhonline.org
Brooklyn,Seeds in the Middle,153 Warren Street Brooklyn NY 11201,Ms Nancie Katz,(917) 697-3745,nancie@seedsinthemiddle.org
Brooklyn,"Southside Community Mission, Inc.",280 Marcy Avenue Brooklyn NY 11211,Ms Gertrudis Duran,(718) 782-8181,250hooperst@gmail.com
Brooklyn,Southside United Housing Development Fund Corporation,434 S 5th St Brooklyn NY 11211,Mr. Juan Ramos,(718) 387-3600,jramos@lossures.org
Brooklyn,Trinity Human Services Corporation,153 A Johnson Avenue Brooklyn NY 11206,Miss Victoria Kamungu,(718) 388-3176,victoriasfmatrinity@gmail.com
Brooklyn,"United Jewish Organizations of Williamsburg, Inc.",32 Penn Street Brooklyn NY 11249,Mr. David Katz,(718) 643-9700,dkatz@unitedjewish.org
Brooklyn,Vinegar Hill Food Pantry,228 York St. Brooklyn NY 11201,Ms Jennifer Macksoud,(908) 403-5755,vinegarhillfoodpantry@gmail.com
Brooklyn,Women’s Empowerment Coalition of New York City,1437 77th Street Brooklyn NY 11209,Ms Somia El-Rowmeim,(347) 666-7722,somia@wecnyc.org
Bronx,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,
Bronx,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org
Bronx,Albanian & American Open Hand Association,"2141 Holland Avenue, Suite ML Bronx NY 10462",Mr. Aleksander Nilaj,(347) 658-8000,aaoha.org@gmail.com
Bronx,"BronxWorks, Inc.",60 East Tremont Avenue Bronx NY 10453,Ms Eileen Torres,(646) 393-4023,etorres@bronxworks.org
Bronx,"Destination Tomorrow, Inc.",452 East 149th Street 3rd Floor Bronx NY 10455,Mr. Sean Coleman,(646) 723-3325,sean@destinationtomorrow.org
Bronx,"Gambian Youths Organization, The",214 E 181st Bronx NY 10457,Mr. Salim Drammeh,(347) 963-2878,salim.drammeh5@gmail.com
Bronx,"Kingsbridge Heights Community Center, Inc.",3101 Kingsbridge Terrace Bronx NY 10463,Raye Barbieri,(718) 884-0700,development@khcc-nyc.org
Bronx,Part of the Solution,2759 Webster Ave Bronx NY 10458,Mr Christina Hanson,(718) 329-7151,chanson@potsbronx.org
Bronx,The Union Grove Baptist Church,1488 Hoe Ave. Bronx NY 10460,Mr. Joseph Alston,(347) 590-3881,jalston@ugmbc-ny.org
Bronx,"Urban Health Plan, Inc.",1065 Southern Blvd Bronx NY 10459,Jamine Williams,(347) 302-5562,Jamine.Williams@urbanhealthplan.org
Queens,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,
Queens,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org
Queens,Mt. Moriah AME Church,116-20 Francis Lewis Blvd Queens NY 11411,Dr. Barbra Talley,(718) 276-1750,btalley@moriahcity.org
Queens,"CHAZAQ Organization USA, Inc.",141-24 Jewel Ave Flushing NY 11367,Mr. Israel Peskowitz,(718) 285-9132,community@chazaq.org
Queens,South Asian Council for Social Services,143-02 45th Ave Flushing NY 11355,Ms Sudha Acharya,(718) 888-0866,sudha@sacssny.org
Queens,Young Women's Christian Association of Queens,42-07 Parsons Blvd Flushing NY 11355,Mrs. Liceth Turo-Garcia,(718) 353-4553,ltgarcia@ywcaqueens.org
Queens,"Queens Jewish Community Council, Inc.",119-45 Union Turnpike Forest Hills NY 11375,Mayer Waxman,(718) 544-9033,mwaxman@qjcc.org
Queens,Queens Law Associates Not-For-Profit Corporation,118-21 Queens Blvd Forest Hills NY 11375,Mr. Brian Schatz,(929) 343-5733,bschatz@queensdefenders.org
Queens,American Pakistani Advocacy Group Cares Inc.,159-16 Union Turnpike Fresh Meadows NY 11366,Mr. Malik Hashim,(347) 596-7202,apagcares@gmail.com
Queens,SCO Family of Services,"1415 Kellum Place, Suite 140 Garden City NY 11530",Mr. Leslie Johnson,(718) 312-5850,MJukoski@sco.org
Queens,LGBT Network,"125 Kennedy Drive, Suite 100 Hauppauge NY 11788",Dr. David Kilmnick,(631) 665-2300,david@lgbtnetwork.org
Queens,Mt. Olivet Baptist Church of Hollis,202-03 Hollis Ave Hollis NY 11412,Dr. Frankco Harris,(718) 465-3746,fharris@mobch.org
Queens,New Immigrant Community Empowerment (NICE),71-29 Roosevelt Avenue Jackson Heights NY 11372,Ms Vanessa Marquez,(914) 316-4600,vanessa@nynice.org
Queens,"The Greater Ridgewood Youth Council, Inc.",5903 Summerfield Street Ridgewood NY 11385,Mrs. Michelle Koch,(718) 456-5437,mkoch@thegryc.org
Queens,Greater Bethel Community Development Corporation,"95-26 Sutphin Boulevard, Suite B Jamaica NY 11435",Dr. Maria Hubbard,(718) 350-9949,mhub133061@aol.com
Queens,"TSQ, Inc.",129-01 Metropolitan Avenue Kew Gardens NY 11415,Mr. Isaac Katz,(718) 850-8070,info@tsqinc.org
Queens,"New York Edge, Inc.",58-12 Queens Blvd Queens NY 11377,Ms Rachael Gazdick,(347) 417-8150,rgazdick@newyorkedge.org
Queens,"Queens Community House, Inc.",108-25 62nd Drive Queens NY 11375,Mr. Anne M. Foerg,(718) 592-5757,afoerg@qchnyc.org
Queens,"Samuel Field YM & YWHA, Inc.Inc.",58-20 Little Neck Pkwy Little Neck NY 11362,,(718) 225-6750,dellman@commonpointqueens.org
Queens,"East River Development Alliance, Inc.",12-­11 40th Avenue Long Island City NY 11101,Mr. Carlos Cano,(646) 657-6727,carlos@urbanupbound.org
Queens,"Fortune Society, Inc., The",29-76 Northern Boulevard Long Island City NY 11101,Mr. Brian Robinson,(347) 510-3613,brobinson@fortunesociety.org
Queens,The Migrant Kitchen Incorporated,41-15 36th Street Long Island City NY 11101,Ms Jaclinn Tanney,(845) 641-4051,Jaclinn@themigrantkitchennyc.com
Queens,"Maspeth Town Hall, Inc.",53-37 72nd Street Maspeth NY 11378,Mrs. Eileen Reilly,(718) 335-6049,eileen.reilly@maspethtownhall.org
Queens,"ICNA Relief USA Programs, Inc.","1529 Jericho Turnpike, Suite # 1 New Hyde Park NY 11040",Ms Shumaila Siddiqui,(718) 249-9992,shumaila.noor@icnarelief.org
Queens,"New York Edge, Inc.",58-12 Queens Blvd Queens NY 11377,Ms Rachael Gazdick,(347) 417-8150,rgazdick@newyorkedge.org
Queens,"Battalion Pentecostal Assembly, Inc.",454 Beach 67th Street Arvene NY 11692,Mr. David T. Cockfield,(718) 634-7172,dcockfield@bparock.org
Queens,"Korean Community Services of Metropolitan New York, Inc.",203-05 32nd Ave Bayside NY 11361,Mrs. Myoungmi Kim,(718) 939-6137,mkim@kcsny.org
Queens,"Project Lead, Inc.",123-19 Hillside Avenue Richmond Hill NY 11418,Mr. Avrohom Hecht,(718) 495-6210,canarsiejcc@gmail.com
Manhattan,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,
Manhattan,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc",77 Water Street New York NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org
Manhattan,"Cabrini Immigrant Services of New York City, Inc.",701 Ft. Washington Ave New York NY 10040,Ms Ella Nimmo,(212) 791-4590,ellanimmo@cis-nyc.org
Manhattan,"Catholic Charities Community Services, Archdiocese of New York","1011 First Avenue, 6th Floor New York NY 10022-4112",Ms Beatriz Diaz Taveras,(646) 794-2438,Beatriz.diaztaveras@archny.org
Manhattan,"Chai Lifeline, Inc.",151 West 30th Street New York NY 10001,Ms Leah Bloch,(212) 699-6608,lbloch@chailifeline.org
Manhattan,"Chinese American Planning Council, Inc.",150 Elizabeth Street New York NY 10012,Mr. Carlyn Cowen,(212) 941-0920,ccowen@cpc-nyc.org
Manhattan,Church of the Holy Apostles,296 9th Avenue New York NY 10001,Mr. Michael Ottley,(646) 998-6105,mottley@holyapostlesnyc.org
Manhattan,"City Harvest, Inc.",150 52nd street New York NY 11232,Ms Jenna Gaglione,(203) 885-9520,jgaglione@cityharvest.org
Manhattan,CityMeals on Wheels,355 Lexington Avenue New York NY 10017,Ms Rachel Sherrow,(646) 866-6289,rachel@citymeals.org
Manhattan,"Coalition for the Homeless, Inc.",129 Fulton Street New York NY 10038,Mr Dave Giffen,(212) 776-2004,dgiffen@cfthomeless.org
Manhattan,"Community League of the Heights, Inc.",500 West 159 Street New York NY 10032,Ms Yvonne Stennett,(212) 795-4779,ystennett@cloth159.org
Manhattan,"Council on the Environment, Inc.",100 Gold St New York NY 10038,Mr. Nick Rolf,(212) 788-7900,nrolf@grownyc.org
Manhattan,"Dominican Women's Development Center, Inc.",519 W. 189th Street New York NY 10040,Mrs. Rosita Romero,(212) 994-6060,rromero@dwdc.org
Manhattan,Evangelical Lutheran Church of the Advent,2504 Broadway New York NY 10025,Reverend Danielle Miller,(212) 665-2504,pastordanielle@adventnyc.org
Manhattan,"Father's Heart Ministries, The",543-545 East 11th Street New York NY 10009,Mrs. Marian Hutchins,(212) 375-1765,marianhutchins@fathersheartnyc.org
Manhattan,"God's Love We Deliver, Inc.",166 Avenue of the Americas New York NY 10013,Ms Karen Pearl,(212) 294-8194,kpearl@glwd.org
Manhattan,"Harvest Home Farmer's Market, Inc.",18 west 126th Street New York NY 10027,Ms Maritza Owens,(212) 828-3361,maritzao@hrvesthomefm.org
Manhattan,Henry Street Settlement,265 Henry Street New York NY 10002,Mr. David Garza,(212) 766-9200,dgarza@henrystreet.org
Manhattan,"Hetrick-Martin Institute, Inc.",2 Astor Place New York NY 10003,Mr. Joe Pressley,(212) 674-2600,jpressley@hmi.org
Manhattan,"Hispanic Federation, Inc.","55 Exchange Place, Suite 501 New York NY 10005",Mr. Frankie Miranda,(212) 233-8955,fmiranda@hispanicfederation.org
Manhattan,"Lower East Side Girls Club of New York, Inc., The",101 Avenue D New York NY 10009,Ms Bessie Taliaferro,(513) 560-7770,bessie.taliaferro@girlsclub.org
Manhattan,Lantern Community Services,"494 8th Avenue, 20th Floor New York NY 10001",Ms Peggy Leggat,(212) 398-3073,PLeggat@lanterncommunity.org
Manhattan,Metropolitan College of New York,60 West Street New York NY 10006,Dr. Joanne Passaro,(212) 343-1234,jpassaro@mcny.edu
Manhattan,"Lower East Side Girls Club of New York, Inc., The",101 Avenue D New York NY 10009,Ms Bessie Taliaferro,(513) 560-7770,bessie.taliaferro@girlsclub.org
Manhattan,"Nazareth Housing, Inc.",519 East 11th St. New York NY 10009,Ms Rachel Levine,(646) 713-2729,rlevine@nazarethhousingnyc.org
Manhattan,"New Alternatives for Children, Inc.",37 West 26th Street New York NY 10010,Ms Lara Foster,(917) 464-5212,lfoster@NacKidsCan.org
Manhattan,"New York Common Pantry, Inc.",8 East 109th Street New York NY 10029,Mr. Stephen Grimaldi,(917) 720-9701,sgrimaldi@nycommonpantry.org
Manhattan,"Palante Harlem, Inc.","1411 Amsterdam Avenue, Ground Floor New York NY 10027",Ms Elsia Vasquez,(212) 491-2541,elsia.vasquez@palanteharlem.org
Manhattan,"Phipps Neighborhoods, Inc.",902 Broadway New York NY 10010,Mr. Andre White,(646) 388-8233,andre.white@phippsny.org
Manhattan,"Rauschenbusch Metro Ministries, Inc.",410 W. 40th Street New York NY 10018,Ms Tiffany Henkel,(212) 594-4464,thenkel@mbcnyc.org
Manhattan,"Rethink Food NYC, Inc.","75 Broad St, Suite 707 Floor 7 New York NY 10004",Ms Kathleen DiPerna,(212) 364-7040,kathleend@rethinkfood.org
Manhattan,"Trinity's Services and Food for the Homeless, Inc.",602 E. 9th Street New York NY 10009,Mr. Alex Lawrence,(212) 228-5254,alex@safhnyc.org
Manhattan,"United Jewish Council of the East Side, Inc.",465 Grand Street New York NY 10002,Ms Betsy Jacobson,(917) 542-1266,bjacobson@ujces.org
Manhattan,"Vision Urbana, Inc.",207-209 East Broadway New York NY 10002,Mr. Eric Diaz,(646) 626-9748,eric@visionurbana.org
Manhattan,Visiting Nurse Service of New York Home Care II,220 East 42nd Street New York NY 10017,Mr. James Farrell,(516) 424-6663,james.farrell@vnshealth.org
Manhattan,"Volunteers of America - Greater New York, Inc.",135 W. 50th Street New York NY 10020,Mr. Daniel Lombardo,(212) 469-4304,dlombardo@voa-gny.org
Manhattan,"West Side Center for Community Life, Inc.",263 West 86th Street New York NY 10024,Mr. Kira Garfinkel,(212) 362-3662,kgarfinkel@wscah.org
Manhattan,Young Men's Christian Association of Greater New York,"5 W. 63rd Street, 6th Floor New York NY 10023",Mr. Michael Rivadeneyra,(212) 630-9717,mrivadeneyra@ymcanyc.org
Manhattan,"Asian Americans For Equality, Inc.","108 Norfolk Street, Ground Floor New York NY 10002",Mr. Thomas Yu,(646) 970-6805,thomas_yu@aafe.org
Manhattan,"Uplift NYC, Inc.",73 Elwood street suite 1B New York NY 10040,Mr. Domingo Estevez Jr.,(917) 826-0224,domingo@upliftnyc.us
Staten Island,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,
Staten Island,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org
Staten Island,"Community Health Action of Staten Island, Inc.","56 Bay Street, 4th Floor Staten Island NY 10301",Ms Diane Arneth,(718) 808-1401,diane.arneth@chasiny.org
Staten Island,"Dr. Theodore A. Atlas Foundation, Inc.",543 Cary Avenue Staten Island NY 10310,Mrs. Sharon Curry,(718) 980-7037,sharonc@dratlasfoundation.com
Staten Island,"Jewish Community Center of Staten Island, Inc.",1466 Manor Road Staten Island NY 10314,Mrs. Orit Lender,(718) 475-5227,olender@sijcc.com
Staten Island,"Meals on Wheels of Staten Island, Inc.",304 Port Richmond Avenue Staten Island NY 10302,Mr. Joseph Tornello,(718) 727-4435,jtornello@mealsonwheelsofsi.org
Staten Island,Tomchei Shabbos of Staten Island,22 Niles Place Staten Island NY 10314,Mr. Milton Pfeiffer,(718) 761-8905,pfeif8993@msn.com
Staten Island,University of Notre Dame Alumni Club of Staten Island,64 Bloomingdale Road Staten Island NY 10309,Mr. Joseph Delaney,(718) 967-9825,Jodelaney@deloitteretired.com
Staten Island,"Staten Island Community Job Center, Inc.",774 Port Richmond Avenue Staten Island NY 10302,Mrs. Yesenia Mata,(773) 931-2635,yesenia@lacolmenanyc.org
