Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude
Fort Greene Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.692339,-73.977224
Major Deegan So. Gas Station,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.894936,-73.88258
Haffen Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.873542,-73.839305
Equity Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691385,-73.853623
,,,,,,,,,,,
"Stapleton Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/stapleton,40.626265,-74.077865
"Brower Park Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brower-park,40.675379,-73.948568
Carmansville Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.829156,-73.944308
South Beach Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592406,-74.063578
825 Eighth Avenue POPS,Privately Owned Public Space,"George Comfort and Sons, Inc.",Year Round,Everyday 6:00 am-9:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.762238,-73.986944
Brevoort Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.680681,-73.922699
"Arlington Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/arlington,40.680698,-73.887239
Rockaway Beach 04c,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.587522,-73.795711
"Forest Hills Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/forest-hills,40.722155,-73.843016
Margaret I. Carman Green - Weeping Beech,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.763499,-73.824741
Nicholas Naquan Heyward Jr. Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.684691,-73.987809
"Brooklyn Central Library, BPL",Library,BPL,Year Round,"Monday	9 am - 8 pm
Tuesday	9 am - 8 pm
Wednesday	9 am - 8 pm
Thursday	9 am - 8 pm
Friday	9 am - 6 pm
Saturday	9 am - 6 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/central,40.672352,-73.968226
Aqueduct Walk Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.858411,-73.907994
,,,,,,,,,,,
Maurice A. FitzGerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690257,-73.839503
,,,,,,,,,,,
Allerton Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.865665,-73.850539
General Hart Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.748786,-73.897234
East Parade Grounds,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.651895,-73.965719
Augustus St. Gaudens Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.735641,-73.982059
"Richmond Hill Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/richmond-hill,40.700806,-73.831644
Shore Road Park Zone 5,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.616198,-74.039478
Maple Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.755964,-73.826086
Ampere Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.681435,-73.85678
Abe Stark,Park,NYC Parks Concessionaire,Seasonal,Concession Operating Hours,,,,,,40.573053,-73.985895
,,,,,,,,,,,
Grove Hill Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.819936,-73.908532
,,,,,,,,,,,
Hudson River Park Pier 84,Park,Hudson River Park,Year Round,9:30am - 10pm,Fully Accessible,,,,,40.763121,-74.000654
Galapo Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.5979,-73.946754
Pink Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.666498,-73.862512
"Center for Brooklyn History, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	10 am - 6 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 6 pm
Friday	10 am - 6 pm
Saturday	10 am - 4 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/center-for-brooklyn-history,40.694811,-73.992406
Bryant Park,Park,Bryant Park Corporation,Year Round,8am-10pm,,Multi-Stall W/M Restrooms,,,,40.754039,-73.982655
,,,,,,,,,,,
Rosewood Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872979,-73.871143
"City Island Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 6:00 pm
Wednesday: 11:00 am - 6:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/city-island,40.8477,-73.786368
MacNeil Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.793522,-73.851378
Vidalia Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.844079,-73.881429
Albert J. Parham Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690233,-73.970509
Hester St Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.716728,-73.994082
"Mosholu Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/mosholu,40.874388,-73.878386
Astoria Park Zone 1,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.77593,-73.925181
St. Nicholas Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.813711,-73.950928
Virginia Principe Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.727226,-73.904336
Walker Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.643726,-74.108829
Oracle Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.693786,-73.971605
McGuire Fields,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.618582,-73.898792
Louis Armstrong Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754938,-73.855156
Lopez Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61127,-74.085
"Grand Concourse Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/grand-concourse,40.84401,-73.910089
Claremont Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841506,-73.906836
East River Park Zone 5,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.721796,-73.974048
Hunts Point Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.814277,-73.88589
Orchard Beach Pavilion,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.86627,-73.794699
Bellerose Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.732855,-73.717682
Greenpoint Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.735646,-73.959285
Queensbridge Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.755099,-73.949561
Hutchinson River Prkwy Snack,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.836286,-73.83897
Brooklyn Bridge Park Pier 6 - Quay Tower,Park,Brooklyn Bridge Park,Year Round,6am-1am,Fully Accessible,,,,,40.692827,-74.000721
Laurelton Parkway West Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.685005,-73.726978
"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table in Children's room,https://www.nypl.org/locations/heiskell,40.740474,-73.993358
Challenge Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.756911,-73.728131
,,,,,,,,,,,
Green Central Knoll,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.70212,-73.933504
"McKinley Park Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/dyker,40.629196,-74.011839
"Flushing Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.queenslibrary.org/about-us/locations/flushing,40.757782,-73.828886
Anne Loftus Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.86512,-73.929484
Travers Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754374,-73.889478
McCarren Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.722025,-73.951842
"East Flushing Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/east-flushing,40.757554,-73.784304
,,,,,,,,,,,
"George Bruce Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 12:00 pm - 7:00 pm 
Wednesday: 12:00 pm - 7:00 pm 
Thursday: 12:00 pm - 7:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/george-bruce,40.813777,-73.957055
Seth Low Playground/ Bealin Square,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.608262,-73.986506
Howard Bennett Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.813698,-73.938957
"Cypress Hills Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/cypress-hills,40.672716,-73.874036
Red Hook Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67277,-74.007817
,,,,,,,,,,,
Woodlawn Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.899927,-73.87225
Lemon Creek Park Marina,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.515281,-74.20115
Lieutenant John H. Martinson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.537194,-74.162407
"Yorkville Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/yorkville,40.773664,-73.956374
Audubon Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841674,-73.937926
Macombs Dam Park Zone 1 Upper,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.828376,-73.929751
"South Hollis Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/south-hollis,40.707012,-73.753799
"Clason's Point Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/clasons-point,40.830001,-73.875022
Yolanda García Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822886,-73.913911
Century Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.577018,-73.970246
Park,Park,NYC Parks,Year Round,,,,,,,40.730899,-73.925415
Bethesda Terrace,Park,Central Park Conservancy,Seasonal,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.773519,-73.971149
Telephone Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.738603,-73.756571
Alley Athletic Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.739995,-73.734204
St Mary's Playground West,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.81286,-73.913424
Macombs Dam Park Zone 2 Lower,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.827497,-73.928379
,,,,,,,,,,,
Jesse Owens Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691638,-73.932459
Fred Samuel Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.817353,-73.939034
Evelina Antonetty Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.817275,-73.928439
Hudson River Park Pier 51,Park,Hudson River Park,Year Round,7:30am - 8pm,Fully Accessible,,,,,40.737997,-74.010384
Bathgate Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.840512,-73.897758
Detective William T. Gunn Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.732288,-73.731697
Calvert Vaux Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58528,-73.992002
Moynihan Connector,Park,Friends of the High Line,Year Round,,,,,,,40.752417,-73.99929
Tavern On The Green,Park,NYC Parks Concessionaire,Year Round,"8am-4pm, Open later seasonally",,,,,,40.772206,-73.977781
Washington Square Park Western Half,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.73075,-73.998309
Police Officer Nicholas Demutiis Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.681843,-73.839676
Willis Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.811357,-73.922689
Montbellier Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67402,-73.756407
Playground For All Children,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.848472,-73.825274
"Roosevelt Island Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/roosevelt-island,40.762333,-73.949446
"Gravesend Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gravesend,40.590553,-73.97181
,,,,,,,,,,,
,,,,,,,,,,,
Corona Plaza APT,Public Plaza,NYC DOT/JCDeceaux,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.74965,-73.862638
Bensonhurst Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.597869,-74.000003
Inwood Hill Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.870299,-73.921423
"Mill Basin Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/mill-basin,40.619877,-73.917023
Claremont Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.814887,-73.962247
Kolbert Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.620351,-73.958039
"Bayside Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bayside,40.760134,-73.768363
Delphin H. Greene Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.684651,-73.728665
The Bandshell,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.698876,-73.858494
Lincoln Road Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.660477,-73.9636
"Hudson Park Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm   
Wednesday: 10:00 am - 6:00 pm    
Thursday: 10:00 am - 6:00 pm    
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://nypl.org/locations/hudson-park,40.729991,-74.005332
"Stone Avenue Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/stone-avenue,40.664508,-73.905251
